gen_name,steps_mean,steps_median,steps_std,steps_min,steps_max,apples_mean,apples_median,apples_std,apples_min,apples_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max
gen_1493_153_0,2058.0,2058.0,0.0,2058.0,2058.0,97.0,97.0,0.0,97.0,97.0,1.5845632502852868e+29,1.5845632502852868e+29,0.0,1.5845632502852868e+29,1.5845632502852868e+29
gen_1493_153_1,1287.3266666666666,1154.0,892.8712598254141,6.0,2677.0,54.906666666666666,47.0,38.47897203524139,0.0,97.0,6.023828383791693e+28,299067164215946.4,7.689339946689874e+28,7.0,1.5845632502852868e+29
gen_1493_153_2,1403.5266666666666,1482.5,858.4642310286174,6.0,2860.0,58.58,56.0,36.223982847463546,0.0,97.0,6.444770106091007e+28,7.205759404000074e+16,7.782837683510809e+28,7.0,1.5845632502852868e+29
gen_1493_153_3,1272.0266666666666,998.5,860.1982945551308,7.0,2896.0,52.99333333333333,42.0,36.63795785187209,0.0,97.0,5.3949485348179795e+28,4398047663395.083,7.501098946165574e+28,8.0,1.5845632502852868e+29
gen_1493_153_4,1408.4066666666668,1742.5,840.2406329670619,10.0,2629.0,59.446666666666665,63.5,36.49210630016062,0.0,97.0,6.3415685054142e+28,1.3835058055284834e+19,7.760139903563044e+28,11.0,1.5845632502852868e+29
gen_1493_153_5,1383.0133333333333,1429.5,883.6944040912686,13.0,2750.0,57.66,55.5,37.463196161922255,0.0,97.0,6.444721605858102e+28,5.404319553048198e+16,7.782877819464884e+28,14.0,1.5845632502852868e+29
gen_1493_153_6,1419.12,1653.5,857.4552965607012,8.0,2864.0,60.07333333333333,62.5,36.699336354883705,0.0,97.0,6.762871689051091e+28,1.0376293541464252e+19,7.835380712211949e+28,9.0,1.5845632502852868e+29
gen_1493_153_7,1361.1066666666666,1427.0,881.2168718816548,14.0,2858.0,57.31333333333333,56.5,36.973168048674914,0.0,97.0,6.025489643072129e+28,1.0808639105899398e+17,7.688117961858494e+28,38.0,1.5845632502852868e+29
gen_1493_153_8,1524.7,1880.5,827.1057147265598,6.0,2970.0,63.166666666666664,79.5,34.42836362974898,0.0,97.0,6.452174828778543e+28,9.066943647109719e+23,7.77712701088284e+28,7.0,1.5845632502852868e+29
gen_1493_153_9,1553.0266666666666,1970.0,879.4248191984475,10.0,2909.0,63.586666666666666,80.0,35.92681202420029,0.0,97.0,6.788880431380809e+28,1.2089258196146292e+24,7.816189542350549e+28,11.0,1.5845632502852868e+29
gen_1493_153_10,1540.62,1980.0,865.4201035335382,10.0,2791.0,64.46666666666667,90.0,36.91226836101455,0.0,97.0,7.624475260702987e+28,1.5474250491067253e+27,7.90037681243024e+28,11.0,1.5845632502852868e+29
gen_1493_153_11,1483.6466666666668,1777.0,826.8005816532922,11.0,2892.0,62.48,72.0,35.28053665502647,0.0,97.0,6.383648682118632e+28,4.722366482869649e+21,7.733194300464513e+28,12.0,1.5845632502852868e+29
gen_1493_153_12,1600.6066666666666,2027.0,834.0555448862837,8.0,2856.0,66.34666666666666,84.0,34.62676934909689,0.0,97.0,7.416141682672813e+28,4.110347786689739e+25,7.8870974535225705e+28,9.0,1.5845632502852868e+29
gen_1493_153_13,1628.7,2034.0,833.5972708688531,6.0,3064.0,68.88,96.0,35.00836471473639,0.0,97.0,7.956673783684286e+28,9.903520314283042e+28,7.895590239083475e+28,7.0,1.5845632502852868e+29
gen_1493_153_14,1525.2066666666667,1888.5,842.7397328291155,9.0,2682.0,63.986666666666665,77.5,35.82028971903432,0.0,97.0,6.9233890185150776e+28,2.2667359117774297e+23,7.811233469935426e+28,11.0,1.5845632502852868e+29
gen_1493_153_15,1562.7333333333333,1925.0,827.7357925221202,10.0,2751.0,65.17333333333333,81.0,34.84494160643056,0.0,97.0,7.1008315965611076e+28,2.4178516392292583e+24,7.858072532052024e+28,11.0,1.5845632502852868e+29
gen_1493_153_16,1619.2666666666667,2041.5,843.7448877211378,8.0,2954.0,66.87333333333333,88.5,35.17978523085223,0.0,97.0,7.453851910731402e+28,4.642275147320176e+26,7.876122668701635e+28,9.0,1.5845632502852868e+29
gen_1493_153_17,1666.88,2003.0,790.7433710966747,10.0,2840.0,69.22,85.0,32.93850229341543,0.0,97.0,7.087527796659005e+28,3.8685626227668134e+25,7.869017866073795e+28,11.0,1.5845632502852868e+29
gen_1493_153_18,1555.0533333333333,1957.0,828.8165763035603,12.0,2774.0,65.40666666666667,83.5,34.98515812296535,0.0,97.0,7.171443903175824e+28,3.989455204728276e+25,7.8108325604117565e+28,102.0,1.5845632502852868e+29
gen_1493_153_19,1650.2466666666667,2034.5,858.8617578839772,10.0,2819.0,68.55333333333333,97.0,35.58755150642177,0.0,97.0,8.156379137808957e+28,1.5845632502852868e+29,7.8991289104636745e+28,11.0,1.5845632502852868e+29
gen_1493_153_20,1554.2,1894.0,791.710873151725,19.0,2838.0,65.13333333333334,75.0,33.70354415916654,0.0,97.0,6.886256005711304e+28,3.777893186295717e+22,7.836502593318435e+28,20.0,1.5845632502852868e+29
gen_1493_153_21,1581.7133333333334,1977.0,839.3350807765764,10.0,2708.0,65.84,86.5,35.08847484098827,0.0,97.0,7.621598330546318e+28,6.238057229211487e+26,7.903053690704015e+28,11.0,1.5845632502852868e+29
gen_1493_153_22,1561.12,1960.0,833.6094762737125,10.0,2661.0,64.71333333333334,75.5,34.85863578640003,0.0,97.0,6.79217536176731e+28,5.666839779443574e+22,7.813431063784672e+28,11.0,1.5845632502852868e+29
gen_1493_153_23,1529.5933333333332,1932.5,866.5219450705729,8.0,2809.0,64.86666666666666,93.0,36.9685752437872,0.0,97.0,7.746209114159244e+28,1.2379400392853803e+28,7.8896308097989325e+28,9.0,1.5845632502852868e+29
gen_1493_153_24,1687.5066666666667,2055.0,800.9781499031183,28.0,3030.0,71.91333333333333,97.0,33.9670304200346,0.0,97.0,8.27750452139509e+28,1.5845632502852868e+29,7.813870530171106e+28,29.0,1.5845632502852868e+29
gen_1493_153_25,1712.7466666666667,2044.0,762.2481152194183,38.0,2796.0,72.58,97.0,31.96003128909607,1.0,97.0,8.454387981666953e+28,1.5845632502852868e+29,7.90161002412626e+28,521.3344544920628,1.5845632502852868e+29
gen_1493_153_26,1601.54,1996.0,822.2224567597262,10.0,2796.0,66.82,82.0,34.31696762050322,0.0,97.0,7.324488174314818e+28,4.835703278458517e+24,7.871595037098854e+28,11.0,1.5845632502852868e+29
gen_1493_153_27,1688.5666666666666,2068.5,795.5033493888563,19.0,2755.0,71.98,97.0,34.13628958552272,0.0,97.0,8.913225785589273e+28,1.5845632502852868e+29,7.82782792598838e+28,20.0,1.5845632502852868e+29
gen_1493_153_28,1660.02,2032.0,839.6656276558346,9.0,2688.0,69.83333333333333,97.0,35.72625862801135,0.0,97.0,8.92967792817382e+28,1.5845632502852868e+29,7.815292851760625e+28,10.0,1.5845632502852868e+29
gen_1493_153_29,1478.1733333333334,1891.5,868.1510755367152,8.0,2692.0,63.446666666666665,83.5,37.46243214504662,0.0,97.0,7.51061360796692e+28,2.1760664753063325e+25,7.902236500386395e+28,9.0,1.5845632502852868e+29
gen_1493_153_30,1654.0733333333333,2060.0,854.1285547009628,10.0,2782.0,69.48,97.0,35.98994674442665,0.0,97.0,8.494757502307158e+28,1.5845632502852868e+29,7.865490735146003e+28,11.0,1.5845632502852868e+29
gen_1493_153_31,1517.4266666666667,1956.5,859.5861201505965,8.0,2736.0,64.39333333333333,89.0,36.60763065567372,0.0,97.0,7.529359400033764e+28,7.737125245533627e+26,7.887206916711019e+28,9.0,1.5845632502852868e+29
gen_1493_153_32,1585.9533333333334,1959.0,828.2179933380396,25.0,2716.0,67.77333333333333,97.0,35.59890385328677,2.0,97.0,8.453895211070401e+28,1.5845632502852868e+29,7.902132359206789e+28,2126.3790526845482,1.5845632502852868e+29
gen_1493_153_33,1619.0333333333333,1968.0,818.0164498481814,10.0,2677.0,68.91333333333333,94.5,35.13211952362428,0.0,97.0,7.936973406067277e+28,8.17040425928351e+28,7.908989103410534e+28,11.0,1.5845632502852868e+29
gen_1493_153_34,1621.36,2047.5,859.31425590409,7.0,2813.0,68.37333333333333,91.5,36.2278983964323,0.0,97.0,7.669680986715689e+28,3.713820117856141e+27,7.868211815760448e+28,8.0,1.5845632502852868e+29
gen_1493_153_35,1624.3533333333332,2041.5,829.9042204709864,10.0,2816.0,68.92,93.5,35.510096216897715,0.0,97.0,7.756162229170507e+28,1.4855280471424563e+28,7.880300087781541e+28,11.0,1.5845632502852868e+29
gen_1493_153_36,1591.3133333333333,1994.0,862.3637835365975,12.0,2719.0,66.79333333333334,92.0,36.46336913792922,0.0,97.0,7.482939982722382e+28,4.951760157141521e+27,7.850038820392964e+28,13.0,1.5845632502852868e+29
gen_1493_153_37,1568.02,1990.5,873.554657477138,8.0,2832.0,66.18,92.5,37.100955962526534,0.0,97.0,7.7309442321345365e+28,7.427640235712282e+27,7.9020240418232305e+28,9.0,1.5845632502852868e+29
gen_1493_153_38,1562.3666666666666,2028.5,846.4188830334278,6.0,2820.0,66.43333333333334,94.0,36.31811607938324,0.0,97.0,7.865080526400758e+28,1.9807040628566084e+28,7.879771004872621e+28,7.0,1.5845632502852868e+29
gen_1493_153_39,1552.0866666666666,1998.0,888.3917299379942,8.0,2670.0,66.00666666666666,97.0,37.90224209140609,0.0,97.0,8.379207767942313e+28,1.5845632502852868e+29,7.8827499168089495e+28,9.0,1.5845632502852868e+29
gen_1493_153_40,1558.7466666666667,2024.0,886.3229974575986,6.0,2800.0,65.79333333333334,95.5,37.8796861420765,0.0,97.0,7.956451199872723e+28,8.913168282854738e+28,7.891668422225715e+28,7.0,1.5845632502852868e+29
gen_1493_153_41,1497.8066666666666,1938.0,862.6942888158908,8.0,2796.0,64.02666666666667,87.0,37.05868259336205,0.0,97.0,7.608395383245077e+28,6.286414261996072e+26,7.914100045880385e+28,9.0,1.5845632502852868e+29
gen_1493_153_42,1520.2666666666667,1938.0,866.8211323886582,10.0,2688.0,65.22666666666667,97.0,37.481754968991986,0.0,97.0,8.134153526937341e+28,1.5845632502852868e+29,7.919934918050739e+28,11.0,1.5845632502852868e+29
gen_1493_153_43,1422.2733333333333,1908.0,898.0668638556684,8.0,2628.0,60.70666666666666,78.0,38.93114377404748,0.0,97.0,7.2048221168317065e+28,3.022314549036573e+23,7.870731751966556e+28,9.0,1.5845632502852868e+29
gen_1493_153_44,1489.2466666666667,1802.0,841.2185046044154,6.0,2850.0,62.10666666666667,70.5,35.49556717237927,0.0,97.0,6.554495555878009e+28,2.6563311466141786e+21,7.798835963552769e+28,7.0,1.5845632502852868e+29
gen_1493_153_45,1528.1866666666667,2004.0,895.0829562051157,7.0,2644.0,64.64666666666666,97.0,38.29432275880533,0.0,97.0,8.092315007307755e+28,1.5845632502852868e+29,7.883978896134199e+28,9.0,1.5845632502852868e+29
gen_1493_153_46,1484.5466666666666,1834.0,844.5864596488758,8.0,2714.0,63.77333333333333,91.0,37.17116205997451,0.0,97.0,7.636441320221483e+28,2.4758800785707605e+27,7.890395805096674e+28,9.0,1.5845632502852868e+29
gen_1493_153_47,1645.8,2030.0,809.3648209141124,6.0,2606.0,69.75333333333333,97.0,34.84249066234439,0.0,97.0,8.58471692078224e+28,1.5845632502852868e+29,7.870244643349277e+28,7.0,1.5845632502852868e+29
gen_1493_153_48,1582.52,1972.0,860.6455152577821,8.0,2703.0,67.6,97.0,37.608864203358586,0.0,97.0,8.702729614715575e+28,1.5845632502852868e+29,7.851921017223797e+28,9.0,1.5845632502852868e+29
gen_1493_153_49,1541.6866666666667,1930.0,839.2158890827131,8.0,2616.0,65.69333333333333,87.0,36.37195745198338,0.0,97.0,7.481323835925667e+28,3.2882782293517914e+26,7.856974038380166e+28,9.0,1.5845632502852868e+29
gen_1493_153_50,1419.9333333333334,1877.0,912.857700971089,6.0,2898.0,61.27333333333333,92.5,40.27785109571871,0.0,97.0,7.7529210927278e+28,1.1141460353568422e+28,7.887816229375105e+28,7.0,1.5845632502852868e+29
gen_1493_153_51,1414.7733333333333,1832.0,879.8799777747469,6.0,2680.0,60.093333333333334,72.0,38.12564258110572,0.0,97.0,6.423995776127034e+28,1.0035028776098e+22,7.72594041037116e+28,7.0,1.5845632502852868e+29
gen_1493_153_52,1475.7533333333333,1964.5,945.3458833440571,6.0,2949.0,62.16,93.0,40.01900881664445,0.0,97.0,7.833798280083771e+28,1.2379400392853803e+28,7.907435505309332e+28,7.0,1.5845632502852868e+29
gen_1493_153_53,1580.84,1943.5,858.3435293633895,7.0,2829.0,66.59333333333333,93.0,36.697701411517436,0.0,97.0,7.68968862878952e+28,9.903520314283042e+27,7.863277229611859e+28,8.0,1.5845632502852868e+29
gen_1493_153_54,1670.24,1993.0,804.9765850010795,8.0,2775.0,70.84,97.0,34.58845279376727,0.0,97.0,8.589683477194927e+28,1.5845632502852868e+29,7.868265461268868e+28,9.0,1.5845632502852868e+29
gen_1493_153_55,1555.72,1993.5,892.851283772014,7.0,2776.0,64.88,90.0,37.79592923406788,0.0,97.0,7.62334468999728e+28,1.2379400392853803e+27,7.901382183549684e+28,8.0,1.5845632502852868e+29
gen_1493_153_56,1664.5066666666667,2043.5,839.4042708704521,10.0,2806.0,69.71333333333334,97.0,35.25362140578216,0.0,97.0,8.224258092750683e+28,1.5845632502852868e+29,7.856821767408522e+28,11.0,1.5845632502852868e+29
gen_1493_153_57,1622.26,2008.5,794.9416786154818,8.0,2680.0,69.81333333333333,97.0,35.36578132727861,0.0,97.0,8.771530691339767e+28,1.5845632502852868e+29,7.873630128352108e+28,9.0,1.5845632502852868e+29
gen_1493_153_58,1772.7533333333333,2104.5,781.05135073751,6.0,2778.0,75.56666666666666,97.0,33.26568134813348,0.0,97.0,9.659545509148386e+28,1.5845632502852868e+29,7.686687070556019e+28,7.0,1.5845632502852868e+29
gen_1493_153_59,1532.78,1952.0,896.5278197579817,6.0,2893.0,64.54666666666667,90.0,38.320331708144465,0.0,97.0,7.523026025523251e+28,1.2379400392853803e+27,7.891993704301361e+28,7.0,1.5845632502852868e+29
gen_1493_153_60,1672.12,2085.5,830.1118392120426,8.0,2891.0,71.36,97.0,36.09603486995952,0.0,97.0,9.015103098044148e+28,1.5845632502852868e+29,7.8143969282982445e+28,9.0,1.5845632502852868e+29
gen_1493_153_61,1571.7066666666667,1990.0,844.113409020902,10.0,2689.0,66.72,97.0,36.527089490769264,0.0,97.0,8.154759397562934e+28,1.5845632502852868e+29,7.90079217420292e+28,11.0,1.5845632502852868e+29
gen_1493_153_62,1566.26,1968.0,858.3730380201839,8.0,2886.0,65.82666666666667,87.5,37.040472759162,0.0,97.0,7.508087414277238e+28,2.321137573660088e+26,7.904534467818721e+28,9.0,1.5845632502852868e+29
gen_1493_153_63,1622.4466666666667,2001.5,816.3898867303266,10.0,2836.0,68.82666666666667,91.5,35.68281503593696,0.0,97.0,7.828013108286775e+28,3.713820117856141e+27,7.911602605667031e+28,11.0,1.5845632502852868e+29
gen_1493_153_64,1659.3133333333333,2043.5,825.9672563055324,8.0,2888.0,71.84666666666666,97.0,35.8131701411025,0.0,97.0,9.448434192929053e+28,1.5845632502852868e+29,7.735483655031948e+28,9.0,1.5845632502852868e+29
gen_1493_153_65,1597.7,2026.5,851.7898625834895,7.0,2760.0,68.56666666666666,97.0,37.081426917288695,0.0,97.0,8.646656153612126e+28,1.5845632502852868e+29,7.829418455592416e+28,8.0,1.5845632502852868e+29
gen_1493_153_66,1736.7333333333333,2052.0,785.5029867684923,10.0,2841.0,73.09333333333333,97.0,33.644087477924295,0.0,97.0,8.875632095709483e+28,1.5845632502852868e+29,7.863233920886702e+28,11.0,1.5845632502852868e+29
gen_1493_153_67,1800.9466666666667,2064.5,747.855750678045,7.0,2829.0,76.46,97.0,31.821717950691056,0.0,97.0,9.466971675971558e+28,1.5845632502852868e+29,7.731746078008404e+28,8.0,1.5845632502852868e+29
gen_1493_153_68,1567.3066666666666,1972.0,834.8605468113954,9.0,2774.0,66.82666666666667,95.0,36.16918516576722,0.0,97.0,7.821323569905658e+28,3.961408125713217e+28,7.838453612440815e+28,10.0,1.5845632502852868e+29
gen_1493_153_69,1729.16,2056.0,779.7738482406293,8.0,2876.0,74.52666666666667,97.0,33.8696908098606,0.0,97.0,9.44056337744018e+28,1.5845632502852868e+29,7.7437302483601e+28,9.0,1.5845632502852868e+29
gen_1493_153_70,1650.7266666666667,2050.5,834.6058382786985,6.0,2670.0,69.52666666666667,97.0,35.673089141380636,0.0,97.0,8.158443998838671e+28,1.5845632502852868e+29,7.897026971743769e+28,7.0,1.5845632502852868e+29
gen_1493_153_71,1638.72,2022.0,866.2587921246937,6.0,2851.0,68.24,96.0,36.318898661716055,0.0,97.0,7.956451207730503e+28,9.903520314283042e+28,7.895797141770776e+28,7.0,1.5845632502852868e+29
gen_1493_153_72,1728.5933333333332,2044.0,766.6982987387471,22.0,2759.0,73.66,97.0,33.47094859725371,0.0,97.0,8.885898681718269e+28,1.5845632502852868e+29,7.852164443231996e+28,40.0,1.5845632502852868e+29
gen_1493_153_73,1714.9866666666667,2020.5,793.9052167328009,19.0,2844.0,73.43333333333334,97.0,33.93943952919015,0.0,97.0,8.9030265285978e+28,1.5845632502852868e+29,7.834506629596885e+28,20.0,1.5845632502852868e+29
gen_1493_153_74,1756.7866666666666,2084.0,766.8773355773544,24.0,2812.0,75.1,97.0,33.581492918967534,0.0,97.0,1.0040740028161065e+29,1.5845632502852868e+29,7.629239523674061e+28,26.0,1.5845632502852868e+29
gen_1493_153_75,1576.6,1958.0,836.1889898023452,8.0,2794.0,67.67333333333333,97.0,36.138713621575164,0.0,97.0,8.45105048889877e+28,1.5845632502852868e+29,7.905140697887347e+28,9.0,1.5845632502852868e+29
gen_1493_153_76,1719.84,2056.0,749.3041312222072,116.0,2674.0,74.88,97.0,33.38940350869818,1.0,97.0,9.83575524326188e+28,1.5845632502852868e+29,7.677130848760023e+28,538.362540492488,1.5845632502852868e+29
gen_1493_153_77,1816.32,2082.0,736.1728177540923,7.0,2652.0,78.45333333333333,97.0,32.30326849647812,0.0,97.0,1.073253363945127e+29,1.5845632502852868e+29,7.368951173014391e+28,8.0,1.5845632502852868e+29
gen_1493_153_78,1803.1266666666668,2113.0,748.5288264025344,8.0,2713.0,76.70666666666666,97.0,32.72156203823745,0.0,97.0,1.016370997323766e+29,1.5845632502852868e+29,7.577995413479432e+28,9.0,1.5845632502852868e+29
gen_1493_153_79,1728.2333333333333,2072.5,774.6706949120739,51.0,2701.0,74.19333333333333,97.0,33.797967723255525,0.0,97.0,9.510015819484552e+28,1.5845632502852868e+29,7.759541786666897e+28,102.0,1.5845632502852868e+29
gen_1493_153_80,1685.68,2070.0,859.5300601297588,1.0,2895.0,70.96,97.0,36.69511865811764,0.0,97.0,9.302353739063213e+28,1.5845632502852868e+29,7.795578260219913e+28,2.0,1.5845632502852868e+29
gen_1493_153_81,1812.8533333333332,2088.0,733.9144581095417,19.0,2752.0,78.99333333333334,97.0,32.04694403874139,0.0,97.0,1.0764538286180691e+29,1.5845632502852868e+29,7.330603836815428e+28,20.0,1.5845632502852868e+29
gen_1493_153_82,1857.2333333333333,2095.5,706.5961356311602,137.0,3036.0,79.60666666666667,97.0,29.95616723740799,2.0,97.0,1.0416865982927759e+29,1.5845632502852868e+29,7.462893449806771e+28,2030.8865976334969,1.5845632502852868e+29
gen_1493_153_83,1874.3333333333333,2163.0,751.8493347887078,10.0,2691.0,80.22666666666667,97.0,32.32257140485921,0.0,97.0,1.1325920899660012e+29,1.5845632502852868e+29,7.131569403019914e+28,11.0,1.5845632502852868e+29
gen_1493_153_84,1894.7933333333333,2090.0,672.0270460496529,38.0,2771.0,82.54,97.0,29.54739243994299,0.0,97.0,1.1323291731555944e+29,1.5845632502852868e+29,7.134547144971067e+28,39.0,1.5845632502852868e+29
gen_1493_153_85,1757.26,2053.0,770.535523126611,19.0,2982.0,74.38,97.0,33.16417143042573,0.0,97.0,9.01637181978289e+28,1.5845632502852868e+29,7.813179846333247e+28,20.0,1.5845632502852868e+29
gen_1493_153_86,1744.6133333333332,2038.0,732.6804377231742,19.0,2938.0,75.81333333333333,97.0,32.70848751556017,0.0,97.0,9.539053876865814e+28,1.5845632502852868e+29,7.726446197845244e+28,33.0,1.5845632502852868e+29
gen_1493_153_87,1844.0133333333333,2083.5,674.4978081176806,101.0,2868.0,78.61333333333333,97.0,29.582379139541086,0.0,97.0,9.597651785587753e+28,1.5845632502852868e+29,7.67159497170051e+28,102.0,1.5845632502852868e+29
gen_1493_153_88,1709.1533333333334,2031.0,800.8107952707819,10.0,2964.0,72.02666666666667,97.0,34.4292408022922,0.0,97.0,8.69242574471894e+28,1.5845632502852868e+29,7.858433851527136e+28,11.0,1.5845632502852868e+29
gen_1493_153_89,1908.0466666666666,2099.0,668.2510240587407,147.0,2781.0,79.52,97.0,28.304703967126503,2.0,97.0,9.0409790216739e+28,1.5845632502852868e+29,7.789397978761561e+28,2045.6207641448436,1.5845632502852868e+29
gen_1493_153_90,1794.16,2086.5,726.7467883657966,115.0,2804.0,75.86666666666666,97.0,31.774553060935762,1.0,97.0,9.315401559023023e+28,1.5845632502852868e+29,7.781582738919819e+28,538.2538728525535,1.5845632502852868e+29
gen_1493_153_91,1773.6666666666667,2092.5,777.1474906491188,8.0,2863.0,74.98666666666666,97.0,33.437301858187595,0.0,97.0,8.866548397767768e+28,1.5845632502852868e+29,7.795919400283316e+28,9.0,1.5845632502852868e+29
gen_1493_153_92,1823.0266666666666,2078.0,704.4529503727618,101.0,2732.0,78.83333333333333,97.0,30.95231098893192,0.0,97.0,9.834330420095897e+28,1.5845632502852868e+29,7.596463895268615e+28,102.0,1.5845632502852868e+29
gen_1493_153_93,1803.0133333333333,2059.0,682.596786657801,101.0,2790.0,77.33333333333333,97.0,29.74551320040647,0.0,97.0,9.54391924845088e+28,1.5845632502852868e+29,7.7250128448517765e+28,102.0,1.5845632502852868e+29
gen_1493_153_94,1696.86,2109.0,821.5709669488895,21.0,2716.0,71.80666666666667,97.0,35.95231965936119,0.0,97.0,8.882531306951075e+28,1.5845632502852868e+29,7.78478786226505e+28,102.0,1.5845632502852868e+29
gen_1493_153_95,1826.44,2106.5,719.4036556296704,39.0,2839.0,78.18,97.0,30.930690260645658,0.0,97.0,9.34764466526881e+28,1.5845632502852868e+29,7.7455583907164345e+28,102.0,1.5845632502852868e+29
gen_1493_153_96,1751.2133333333334,2070.0,766.0707329106251,13.0,2673.0,74.58,97.0,33.107556035845754,0.0,97.0,8.799639495604355e+28,1.5845632502852868e+29,7.84457388870208e+28,14.0,1.5845632502852868e+29
gen_1493_153_97,1752.0666666666666,2070.5,798.0022612053734,86.0,2856.0,74.35333333333334,97.0,34.14286390383143,1.0,97.0,9.441793377803456e+28,1.5845632502852868e+29,7.742255221046652e+28,537.2997083425172,1.5845632502852868e+29
gen_1493_153_98,1873.68,2125.0,668.6715119797861,108.0,2674.0,80.4,97.0,29.306882013160887,1.0,97.0,1.0698158772384255e+29,1.5845632502852868e+29,7.397143485425984e+28,537.4273647528983,1.5845632502852868e+29
gen_1493_153_99,1743.1866666666667,2081.5,793.8661128651075,7.0,2777.0,72.78666666666666,97.0,34.063193560727036,0.0,97.0,8.467139249521779e+28,1.5845632502852868e+29,7.888548451817034e+28,8.0,1.5845632502852868e+29
gen_1493_153_100,1827.5466666666666,2094.5,737.2224502519952,54.0,2848.0,77.1,97.0,32.11142060596717,0.0,97.0,9.731920976727077e+28,1.5845632502852868e+29,7.7004370043338915e+28,102.0,1.5845632502852868e+29
gen_1493_153_101,1843.6533333333334,2092.0,728.5161264439441,6.0,2888.0,79.51333333333334,97.0,31.307876893132747,0.0,97.0,1.0476436814844247e+29,1.5845632502852868e+29,7.482428108873037e+28,7.0,1.5845632502852868e+29
gen_1493_153_102,1699.9133333333334,2038.5,781.649324072005,25.0,2795.0,72.13333333333334,97.0,33.60112431981341,0.0,97.0,8.457681915860962e+28,1.5845632502852868e+29,7.898170421895818e+28,26.0,1.5845632502852868e+29
gen_1493_153_103,1730.3733333333332,2036.5,762.8400229551555,102.0,2894.0,73.14,97.0,32.83697712437408,1.0,97.0,8.98293401870618e+28,1.5845632502852868e+29,7.847834588238082e+28,536.6244637882334,1.5845632502852868e+29
gen_1493_153_104,1790.3733333333332,2035.0,703.082266847597,44.0,2749.0,76.07333333333334,97.0,30.541140923169337,0.0,97.0,8.624403257695409e+28,1.5845632502852868e+29,7.837301432874719e+28,102.0,1.5845632502852868e+29
gen_1493_153_105,1727.0866666666666,2013.5,758.7658834068795,44.0,2642.0,74.42666666666666,97.0,33.494546156385255,0.0,97.0,8.569980850060718e+28,1.5845632502852868e+29,7.883226421382951e+28,102.0,1.5845632502852868e+29
